common_name,scientific_name,plant_type,description,tips,classification
BLACKBERRY,Rubus fruticosus agg.,Woody,"A dense forming perennial shrub with long arching wood , thorny canes growing up to several metres long. leaves are dark green and have serrated edges, dropping in the winter months. flowers late spring to summer bearing small white flowers and edible berries. fruits december to march.",Chemical control is best between flowering and leaf fall (look for new growth on the tips of canes). it is recommended that signage is installed after spraying fruit to warn potential berry pickers. avoid spraying blackberry during fruiting as native finches can be killed when they ingest herbicide. use appropriate woody weed herbicide.,Regionally Controlled
BONESEED AND BITOU BUSH,Chrysanthemoides monilifera,Woody,"An erect perennial evergreen shrub/small tree, growing to 3m in height, with obvious toothed leaves. yellow daisy like flowers 5-8 ray florets. round smooth bone-coloured seeds. bitou bush – a sprawling perennial evergreen shrub, growing 1-2m in height, slightly toothed rounded leaves. yellow daisy like flowers 11-13 ray florets. egg shaped ribbed dark seeds.",Apply suitable herbicide whilst plant actively growing and before seeds set. avoid spraying with herbicides during extended dry periods. young plants can be hand pulled.,Regionally Controlled
BOXTHORN,Lycium ferocissimum,Woody,"An erect thorny dense shrub growing to 5m in height with drooping branches that produce white to lilac flowers during spring and summer. berries are initially green, turning to red when mature. boxthorn is often used by rabbits as harbour.","For chemical control, apply when tree has a healthy cover of foliage. do not spray during hot summer periods or when the plant is under stress. for manual removal, ensure all roots are removed.",Regionally Controlled
"BRIAR ROSE (WILD ROSE, SWEET BRIAR ROSE)",Rosa rubiginosa,Woody,"An erect perennial, woody shrub up to 3m in height. arching stems, covered with down-curved prickles, arise from shallow rootstock. pink or white flowers are present from october to december, giving the plant a rose like appearance. briar rose seed is contained in an egg shaped capsule (hip). when seeds are ripe the hips are orange to red to almost black. seed is shed in autumn.",,Regionally Controlled
CAPE BROOM & ENGLISH BROOM,Genista monspessulana and Cytisus scoparius,Woody,"Slender shrubs that grow to approximately 3m in height with woody stems. yellow pea like flowers, sometimes with reddish markings. english broom is almost leafless while in flower.","Broom is a prolific seeder and will quickly regenerate after larger infestations have been removed. for this reason, it is essential to undertake pasture improvement and revegetation with native species to outcompete emerging broom seedlings. where this is not appropriate, spot spraying and manual removal of new seedlings should be undertaken.",Regionally Controlled
CHERRY LAUREL &  PORTUGUESE LAUREL,Prunus laurocerasus and Prunus lusitanica,Woody,Evergreen shrubs or small tree to 5m or more commonly planted in gardens. leaves are alternately arranged and oblong to lanceolate. cherry laurel leaves have almost smooth margins and blunt tips while portuguese laurel leaves have pointed tips and toothed margins. sprays of small white flower heads decorate the trees in spring followed by cherry- like fruits which are green or reddish green at first and turn dark purple or black as they ripen in late summer or early autumn.,,Environmental Weed
COTONEASTER,Cotoneaster spp.,Woody,"An evergreen shrub or small tree to 5m or more. leaves are alternately arranged and oblong to oval. flowers are small, numerous and have five white or pink petals. fruit is a fleshy, red, berry-like pome about 7-8mm across. the fruit is poisonous if eaten in large quantities.",For immature plants cut the stem and paint with herbicide. treat mature plants with herbicide by stem injection well in advance to lopping.,Environmental Weed
FLAX-LEAVED BROOM,Genista linifolia,Woody,"An evergreen perennial shrub that grows to approximately 3m in height. flax-leaved broom has silvery grey foliage that is hairy on the upper and lower surface. like most broom species has yellow pea like flowers. it produces brown seed pods that are hairy in appearance when ripe. the seed pods split open on hot days, dispersing the seeds a few metres from the plant.",Likely to be found on roadsides and disturbed sites. plants form dense thickets outcompeting native plant species and providing harbour for pest animals. seed banks can remain dormant for many years and the plants can increase fire risk.,Regionally Controlled
GORSE (OR FURZE),Ulex europaeus,Woody,"A dense, extremely spiny shrub up to 7m tall, but more commonly 1 to 2.5m tall. stems are woody, turning brown at maturity with numerous spines and narrow spine-like green leaves. gorse bears fragrant yellow pea like flowers in july to october and march to may.","Gorse is a prolific seeder with seeds remaining viable in the ground for up to 25 years. integrated methods need long term control. it is best to use chemical control whilst the plant is actively growing. mechanical control can be used all year round, but is not advised during late spring to summer due to fire risk. young growth is palatable to stock.",Regionally Controlled
HAWTHORN,Crataegus monogyna,Woody,"Tall, densely growing deciduous shrub or small tree. hawthorn produces white, cream or pink flowers in spring which form into small, red, apple shaped berries. hawthorn was historically grown as a hedge and, therefore, is often associated with fence lines.",Undertake manual control during the growing season before fruits ripen. ensure all roots are removed. it is best to use chemical control after the formation of new growth.,Regionally Controlled
HOLLY,Ilex aquifolium,Woody,"A classic christmas decoration, holly flowers in groups of three. berries ripen from green to bright red. leaves are dark green and shiny with spine tipped points. plants are semi- deciduous in spring. holly is highly invasive, invading damp and wet forest landscapes with an ability to out compete indigenous species. its berries are poisonous to humans.",Cut and paint or drill and fill. pull out small seedlings roots and all.,Environmental Weed
OLD MAN’S BEARD,Clematis vitalba L.,Woody,"An introduced woody climbing vine that can reach lengths of up to 30m. flowers are greenish creamy white clusters with hairy fruits and seeds. can produce thousands of viable seeds.known to escape from gardens and dumped garden waste. it outcompetes native plants by forming dense canopies over vegetation, blocking sunlight, and smothering any growth below and can cause trees to topple due to weight. it is known to grow along forest edges, roadsides, grassy woodland areas, urban areas, and remnant bushlands. has tolerance to cold extremes and will survive in most soil types.",Stumps and cut stems can easily resprout. take care to remove all cut growth and dispose carefully. check treated areas regularly. not to be mistaken with native clematis species will usually have 3 leaflets emerging from stem instead of 5.,Environmental Weed
